date,inflow_mgd
1942-10-14,387.0125678022
1942-10-15,4970.6926677098
1942-10-16,4595.7742426514
1942-10-17,1808.0743402010
1942-10-18,1052.1904187123
1942-10-19,701.4602791415
1942-10-20,514.6057737495
1942-10-21,419.6667532105
1942-10-22,397.8972962717
1942-10-23,337.4265825526
1942-10-24,280.5841116566
1942-10-25,249.1393405227
1942-10-26,243.6969762880
1942-10-27,278.1652831078
1942-10-28,221.3228122119
1942-10-29,200.1580624102
1942-10-30,188.6686268036
1942-10-31,192.9015767639
1942-11-01,238.8593191904
1942-11-02,325.3324398087
1942-11-03,299.9347400467
1942-11-04,291.4688401260
1942-11-05,269.6993831872
1942-11-06,253.9769976202
1942-11-07,206.8098409193
1942-11-08,182.0168482945
1942-11-09,191.0874553523
1942-11-10,180.2027268829
1942-11-11,313.2382970649
1942-11-12,241.2781477392
1942-11-13,214.0663265656
1942-11-14,195.3204053127
1942-11-15,165.0850484531
1942-11-16,177.7838983341
1942-11-17,163.2709270416
1942-11-18,157.2238556697
1942-11-19,157.2238556697
1942-11-20,143.9202986515
1942-11-21,130.6167416333
1942-11-22,177.7838983341
1942-11-23,230.9981264070
1942-11-24,628.8954226786
1942-11-25,713.5544218853
1942-11-26,514.6057737495
1942-11-27,426.9232388568
1942-11-28,346.4971896104
1942-11-29,334.4030468666
1942-11-30,792.1663497202
1942-12-01,527.3046236305
1942-12-02,1185.2259888943
1942-12-03,701.4602791415
1942-12-04,510.3728237892
1942-12-05,419.6667532105
1942-12-06,390.6408106254
1942-12-07,346.4971896104
1942-12-08,308.4006399674
1942-12-09,283.0029402054
1942-12-10,264.2570189525
1942-12-11,256.3958261690
1942-12-12,269.6993831872
1942-12-13,256.3958261690
1942-12-14,200.1580624102
1942-12-15,209.2286694681
1942-12-16,346.4971896104
1942-12-17,310.8194685162
1942-12-18,286.0264758913
1942-12-19,236.4404906417
1942-12-20,206.8098409193
1942-12-21,151.1767842977
1942-12-22,181.4121411573
1942-12-23,241.8828548764
1942-12-24,719.6014932573
1942-12-25,531.5375735909
1942-12-26,725.6485646292
1942-12-27,677.2719936539
1942-12-28,1699.2270555066
1942-12-29,2854.2176875414
1942-12-30,2963.0649722358
1942-12-31,1681.0858413909
1943-01-01,1088.4728469438
1943-01-02,810.3075638359
1943-01-03,901.0136344145
1943-01-04,961.4843481336
1943-01-05,731.6956360011
1943-01-06,553.9117376669
1943-01-07,501.9069238685
1943-01-08,441.4362101494
1943-01-09,397.8972962717
1943-01-10,358.5913323542
1943-01-11,313.8430042021
1943-01-12,291.4688401260
1943-01-13,238.8593191904
1943-01-14,214.0663265656
1943-01-15,241.8828548764
1943-01-16,264.2570189525
1943-01-17,1269.8849881010
1943-01-18,1850.4038398044
1943-01-19,1554.0973425808
1943-01-20,931.2489912741
1943-01-21,665.1778509101
1943-01-22,549.0740805694
1943-01-23,476.5092241065
1943-01-24,468.0433241858
1943-01-25,405.1537819180
1943-01-26,397.8972962717
1943-01-27,394.2690534485
1943-01-28,337.4265825526
